"TOA5","CH-OE2_iDL_BOX1_0_1","CR1000X","15913","CR1000X.Std.05.00","CPU:CH-OE2_iDL_BOX1_0_1.cr1x","16486","iDL_BOX1_1min"
"TIMESTAMP","RECORD","DNTP_iDL_BOX1_0_1","BV_iDL_BOX1_0_1_Avg","BV_iDL_INT_BOX1_0_1_Avg","T_iDL_BOX1_0_1_Avg","SDP_CF1_0x05_1_Avg","SDP_CF1_0x15_1_Avg","SDP_CF1_0x30_1_Avg","SDP_CF1_0x50_1_Avg","TS_CF1_0x05_1_Avg","TS_CF1_0x15_1_Avg","TS_CF1_0x30_1_Avg","TS_CF1_0x50_1_Avg","SWC_CF1_0x05_1_Avg","SWC_CF1_0x15_1_Avg","SWC_CF1_0x30_1_Avg","SWC_CF1_0x50_1_Avg","PA_CF1_1_1_Avg","TS_CF2_0x015_1_Avg","TS_CF3_0x015_1_Avg","TS_CF4_0x015_1_Avg","TS_CF5_0x015_1_Avg","G_CF2_0x03_1_Avg","G_CF3_0x03_1_Avg","G_CF4_0x03_1_Avg","G_CF5_0x03_1_Avg","TA_T1_2_1_Avg","RH_T1_2_1_Avg","WS_CUP_T1_2_1_Avg","WD_VANE_T1_2_1_Avg","WS_CUP_T1_2_1_WVc(1)","WS_CUP_T1_2_1_WVc(2)","WS_CUP_T1_2_1_WVc(3)","SW_IN_M1_1_1_Avg","SW_OUT_M1_1_1_Avg","LW_IN_M1_1_1_Avg","LW_OUT_M1_1_1_Avg","LW_IN_RAW_M1_1_1_Avg","LW_OUT_RAW_M1_1_1_Avg","T_RAD_M1_1_1_Avg","PPFD_IN_M1_1_1_Avg","PPFD_DIF_M1_1_1_Avg","SW_IN_M1_1_2_Avg","SW_OUT_M1_1_2_Avg","LW_IN_M1_1_2_Avg","LW_OUT_M1_1_2_Avg","LW_IN_RAW_M1_1_2_Avg","LW_OUT_RAW_M1_1_2_Avg","T_RAD_M1_1_2_Avg","PREC_TOT_M2_1_1_Tot","BV_iDL_BOX1_0_1_Std","BV_iDL_INT_BOX1_0_1_Std","T_iDL_BOX1_0_1_Std","SDP_CF1_0x05_1_Std","SDP_CF1_0x15_1_Std","SDP_CF1_0x30_1_Std","SDP_CF1_0x50_1_Std","TS_CF1_0x05_1_Std","TS_CF1_0x15_1_Std","TS_CF1_0x30_1_Std","TS_CF1_0x50_1_Std","SWC_CF1_0x05_1_Std","SWC_CF1_0x15_1_Std","SWC_CF1_0x30_1_Std","SWC_CF1_0x50_1_Std","PA_CF1_1_1_Std","TS_CF2_0x015_1_Std","TS_CF3_0x015_1_Std","TS_CF4_0x015_1_Std","TS_CF5_0x015_1_Std","G_CF2_0x03_1_Std","G_CF3_0x03_1_Std","G_CF4_0x03_1_Std","G_CF5_0x03_1_Std","TA_T1_2_1_Std","RH_T1_2_1_Std","WS_CUP_T1_2_1_Std","WD_VANE_T1_2_1_Std","SW_IN_M1_1_1_Std","SW_OUT_M1_1_1_Std","LW_IN_M1_1_1_Std","LW_OUT_M1_1_1_Std","LW_IN_RAW_M1_1_1_Std","LW_OUT_RAW_M1_1_1_Std","T_RAD_M1_1_1_Std","PPFD_IN_M1_1_1_Std","PPFD_DIF_M1_1_1_Std","SW_IN_M1_1_2_Std","SW_OUT_M1_1_2_Std","LW_IN_M1_1_2_Std","LW_OUT_M1_1_2_Std","LW_IN_RAW_M1_1_2_Std","LW_OUT_RAW_M1_1_2_Std","T_RAD_M1_1_2_Std","PREC_TOT_M2_1_1_Std"
"2022-06-29 17:22:00",8,-999,13.82488,3.70477,29.14027,9.78,11.76333,13.53,17.145,20.81667,19.7,18.68333,18.1,18.39918,22.13819,25.20428,30.7632,95958.85,23.92078,24.7382,22.72183,23.93097,11.15721,30.58701,13.82291,47.17145,25.99317,52.88466,0.87318,270.1007,0.87318,329.551,18.44216,473.91546180761867,101.2448,371.0211,470.4191,-97.8746,1.523328,28.40483,866.502,213.0683,450.0414,102.9846,363.4939,470.8627,-112.4751,-5.106313,29.5357,0.0,0.002945656,0,0.03268601,0.0,0.004714153,0.0,0.005000114,0.03726794,0.0,0.03726794,0.0,0.0,0.008506695,0.0,0.007064819,2.705188,0.001290669,0.0008929833,0.000691657,0.0006272622,0.01308053,0.06877032,0.03795712,0.04930815,0.02174395,1.648473,0.259667,115.9677,2.448701,0.252998,0.3301508,0.617041,0.2851304,0.5296887,0.01481701,3.709186,1.416604,1.154435,0.2923018,0.2648863,0.6609389,0.2044314,0.5463192,0.01950217,0.0
"2022-06-29 17:23:00",9,-999,13.82505,3.70477,29.25622,9.78,11.76,13.53167,17.15,20.85,19.7,18.65,18.1,18.39918,22.13217,25.20706,30.77026,95959.46,23.91706,24.73481,22.72227,23.93042,11.15655,30.3875,13.86081,47.23901,26.059,51.81466,1.6632,121.7639,1.6632,1.753023,11.67791,462.892812031837,99.11774,369.7146,467.807,-99.23017,-1.137719,28.41271,843.5167,209.5651,439.0601,100.0568,362.5601,468.3268,-113.74,-7.973339,29.58832,0.0,0.003198632,0,0.03341277,0.0,0.008165153,0.003726865,0.005773634,0.05000019,0.0,0.05000019,0.0,0.0,0.01473636,0.00621476,0.008157198,4.33631,0.001189979,0.001369405,0.0006393333,0.0001643422,0.009646428,0.04050429,0.02081213,0.02137213,0.02562529,1.684174,0.2120172,161.3858,14.16485,1.701638,0.3255536,1.033603,0.2893772,0.9802088,0.008710464,12.4962,1.281736,8.20533,2.044431,0.1829518,0.8816962,0.1887849,0.9283064,0.008093541,0.0
"2022-06-29 17:24:00",10,-999,13.82499,3.70477,29.37473,9.778333,11.75833,13.53,17.15333,20.85,19.7,18.66667,18.08333,18.3959,22.12917,25.20428,30.77497,95957.16,23.91277,24.73124,22.72254,23.93166,11.13422,30.28535,13.7869,47.0794,25.95516,51.932,1.10187,17.78411,1.10187,17.81648,10.60703,461.2594031906251,98.91399,369.546,466.262,-99.36756,-2.651621,28.40771,840.1943,207.7193,437.1543,99.38331,362.6223,467.1515,-113.7715,-9.242351,29.60322,0.0,0.003234637,0,0.03395626,0.00372651,0.003726865,0.005773359,0.004714153,0.05000019,0.0,0.04714063,0.03726794,0.007333601,0.006727265,0.009628412,0.006659877,2.536218,0.001569769,0.0006949406,0.0008868349,0.0006884328,0.01107016,0.01869794,0.0198157,0.07479175,0.02524149,0.3406247,0.3558675,10.60873,3.000801,0.2538288,0.2800823,0.4011973,0.2723069,0.3963615,0.002327314,4.550103,0.5807384,1.453857,0.1439047,0.2199476,0.4018343,0.2268094,0.4077936,0.001563428,0.0
"2022-06-29 17:25:00",11,-999,13.82485,3.70477,29.49344,9.778333,11.76167,13.53167,17.145,20.88333,19.7,18.68333,18.1,18.3959,22.13518,25.20706,30.7632,95956.6,23.90847,24.72623,22.72231,23.93169,11.10852,30.22585,13.74962,46.76072,25.95516,52.53166,1.20582,68.91618,1.20582,8.982084,9.541988,462.0321627694951,98.87112,369.5403,467.2649,-99.51575,-1.791203,28.43061,840.9726,206.2843,437.5231,99.38074,362.4236,468.2747,-113.995,-8.14391,29.60715,0.0,0.003270429,0,0.03364337,0.00372651,0.003726865,0.003726865,0.0076378,0.03726794,0.0,0.03726794,0.0,0.007333601,0.006725132,0.00621476,0.01079419,1.467958,0.001116246,0.001475402,0.0018504,0.0004664134,0.006212866,0.01827412,0.007931462,0.1074797,0.02002026,1.34002,0.3111562,125.0371,1.59769,0.1122398,0.4872915,0.7229843,0.506184,0.730177,0.0052465,2.929951,0.8824275,1.017321,0.2650829,0.4612302,0.6661639,0.4658273,0.6634038,0.003662307,0.0
"2022-06-29 17:26:00",12,-999,13.82443,3.70477,29.61097,9.78,11.76167,13.53333,17.145,20.86667,19.7,18.7,18.06667,18.39918,22.13518,25.20984,30.7632,95958.6,23.90423,24.72265,22.72254,23.93229,11.06668,30.151,13.69868,46.36371,25.90233,51.70783,0.95634,81.68087,0.95634,21.72943,20.59054,454.61109271496167,97.57162,369.3134,466.7397,-99.83941,-2.413017,28.44614,821.9858,203.4102,430.1172,98.19769,362.3181,467.7988,-114.0204,-8.539716,29.59442,0.0,0.003335187,0,0.03304484,0.0,0.003726865,0.004714153,0.0076378,0.04714063,0.0,0.0,0.04714063,0.0,0.006725132,0.007861118,0.01079419,2.943698,0.001087509,0.001143007,0.001758729,0.0006530255,0.01066883,0.02536961,0.0162684,0.1055481,0.02507756,1.782014,0.117606,122.5617,3.095375,0.3605227,0.262481,0.3438208,0.2369609,0.3098264,0.005761701,3.117963,1.106249,1.640904,0.177504,0.2810959,0.2788257,0.2901291,0.2872464,0.003228315,0.0
"2022-06-29 17:27:00",13,-999,13.82475,3.70477,29.72608,9.775,11.765,13.52833,17.15333,20.85,19.7,18.66667,18.08333,18.38934,22.14119,25.2015,30.77497,95953.93,23.89993,24.7172,22.7221,23.93197,11.03133,30.04423,13.67649,46.0021,25.90166,50.77217,1.55925,119.8309,1.55925,359.8609,9.100012,450.8433875412079,96.91084,369.0387,465.8282,-100.1424,-3.352932,28.45069,813.5882,200.3474,426.6318,97.70193,362.1476,466.6353,-114.1586,-9.670916,29.58928,0.0,0.003129837,0,0.03256829,0.004999637,0.01499992,0.006871614,0.01247248,0.05000019,0.0,0.04714063,0.03726794,0.009839057,0.02706019,0.01146022,0.01761766,2.538468,0.001782987,0.001667371,0.0004226498,0.0005443252,0.06648923,0.03276385,0.01394922,0.1078323,0.01937084,1.125514,0.236129,162.0326,2.100688,0.2111264,0.2303636,0.9918878,0.1996672,0.9328547,0.01081113,2.431596,0.9246438,1.135699,0.3150343,0.2232119,1.077351,0.2239826,1.041969,0.005969132,0.0
"2022-06-29 17:28:00",14,-999,13.82497,3.70477,29.83937,9.776667,11.76167,13.53,17.145,20.83333,19.7,18.66667,18.1,18.39262,22.13518,25.20428,30.7632,95952.45,23.8962,24.71111,22.72221,23.93139,10.78406,29.91754,13.60892,45.65872,25.82817,51.58066,1.33056,134.1427,1.33056,13.95086,20.50213,447.70061986917034,96.187,368.8702,465.0192,-100.1038,-3.954874,28.41742,808.5383,196.88,423.334,96.85004,362.3118,466.106,-113.8239,-10.0297,29.56219,0.0,0.003083531,0,0.03189695,0.004713703,0.003726865,0.005773359,0.0076378,0.04714063,0.0,0.04714063,0.0,0.009276353,0.006725132,0.009628414,0.01079419,4.100564,0.0009685292,0.001410803,0.0004249694,0.0004361155,0.03855817,0.03904841,0.0252795,0.0918008,0.01028664,0.5638669,0.294015,154.0484,2.235973,0.3013121,0.247302,0.343137,0.2474849,0.3577126,0.006375831,2.876671,0.5700207,1.324731,0.2199998,0.2495567,0.2988564,0.2625468,0.3449206,0.009527733,0.0
"2022-06-29 17:29:00",15,-999,13.82499,3.711498,29.94985,9.778333,11.75833,13.53,17.14667,20.86667,19.7,18.7,18.08333,18.3959,22.12917,25.20428,30.76555,95951.16,23.89192,24.70482,22.72177,23.93098,10.64709,29.77652,13.53711,45.30799,25.80483,52.0745,1.58004,225.9376,1.58004,345.9358,13.50032,440.75554917972653,95.01656,369.0282,464.7126,-99.85111,-4.166666,28.4022,791.0557,194.0023,416.6579,95.71363,362.6438,465.7649,-113.3462,-10.22513,29.53903,0.0,0.003211213,0,0.03104045,0.003726509,0.003726865,0.0,0.00745373,0.04714063,0.0,0.0,0.03726794,0.007333599,0.006727265,0.0,0.01053104,4.010181,0.001683883,0.001623243,0.0004644959,0.0008291857,0.03598757,0.04279874,0.01944506,0.1050735,0.009441286,0.7588064,0.2758105,158.4799,4.128865,0.3386772,0.1589035,0.2196863,0.1500249,0.2099617,0.008337773,5.336225,0.6089149,2.104656,0.3338071,0.1186399,0.2027356,0.1371757,0.2104064,0.004140459,0.0
"2022-06-29 17:30:00",16,-999,13.82477,3.70477,30.05692,9.778333,11.76,13.52833,17.15167,20.83333,19.7,18.68333,18.08333,18.3959,22.13217,25.2015,30.77262,95949.03,23.88766,24.69789,22.72071,23.92989,10.52959,29.6216,13.51669,44.92529,25.78867,52.109,1.26819,332.1812,1.26819,332.1718,6.86068,430.578314454485,92.91958,368.9459,464.4531,-99.75616,-4.24894,28.37368,771.9853,192.7877,407.3622,93.70856,362.9065,465.5854,-112.9826,-10.30368,29.523,0.0,0.003116542,0,0.02988365,0.00372651,0.0,0.00372651,0.006871999,0.04714063,0.0,0.03726794,0.03726794,0.007333601,0.0,0.00621547,0.009708893,3.037464,0.001285849,0.001979314,0.001316704,0.0004459699,0.03379845,0.04556146,0.02214644,0.1234573,0.006700032,0.9151953,0.3906087,6.863487,9.149907,1.279942,0.22231,0.149512,0.202912,0.131113,0.00371448,13.28182,0.8508386,5.165953,1.397231,0.1851709,0.1498448,0.2061058,0.162429,0.004566515,0.0
"2022-06-29 17:31:00",17,-999,13.82453,3.70477,30.15967,9.775,11.75667,13.52833,17.14833,20.83333,19.7,18.65,18.06667,18.38934,22.12616,25.2015,30.76791,95950.99,23.88402,24.69093,22.72133,23.9284,10.41308,29.46169,13.48748,44.44351,25.8135,52.4915,0.9147601,235.2982,0.9147601,355.371,17.27851,428.28620731250896,92.64435,369.2161,464.7631,-99.61637,-4.069379,28.39465,771.1711,190.5246,404.9071,93.66953,362.8896,465.9246,-112.9035,-9.86856,29.50774,0.0,0.00296514,0,0.0286892,0.004999637,0.004714153,0.006871614,0.00897548,0.04714063,0.0,0.05000019,0.04714063,0.009839057,0.008509393,0.01146022,0.01268091,3.262377,0.001355859,0.002044735,0.0007557338,0.0006549243,0.03254544,0.04491332,0.02513787,0.1510282,0.007826203,1.244654,0.235212,155.6456,10.21025,1.467924,0.287089,0.3364612,0.2713668,0.3174599,0.006858961,11.30722,0.4717749,5.353496,1.566148,0.2587275,0.2982669,0.2585979,0.2982891,0.005568668,0.0
